analysis	configuration	method	mean_spearman_across_four_tasks	rank
all_nonempty_subsets	1	cpa_adapted	0.44825733098181847	4.0
all_nonempty_subsets	1	cvae_counterfactual	0.45674675547354704	2.0
all_nonempty_subsets	1	gene_linear	0.04470080949686184	7.0
all_nonempty_subsets	1	pca_latent	0.39666097596178046	6.0
all_nonempty_subsets	1	scgen_adapted	0.4577561617806899	1.0
all_nonempty_subsets	1	sinkhorn_ot	0.41097384118098745	5.0
all_nonempty_subsets	1	vae_latent	0.44943714861387263	3.0
all_nonempty_subsets	2	cpa_adapted	0.44426938675044675	1.0
all_nonempty_subsets	2	cvae_counterfactual	0.4425252584323749	3.0
all_nonempty_subsets	2	gene_linear	0.04893057821615983	7.0
all_nonempty_subsets	2	pca_latent	0.3840674012677867	6.0
all_nonempty_subsets	2	scgen_adapted	0.44323853837179206	2.0
all_nonempty_subsets	2	sinkhorn_ot	0.3939470896395827	5.0
all_nonempty_subsets	2	vae_latent	0.43399920575944106	4.0
all_nonempty_subsets	3	cpa_adapted	0.47043332027787266	3.0
all_nonempty_subsets	3	cvae_counterfactual	0.47738019129218723	2.0
all_nonempty_subsets	3	gene_linear	0.05220843340997086	7.0
all_nonempty_subsets	3	pca_latent	0.4135204437731681	6.0
all_nonempty_subsets	3	scgen_adapted	0.478565056239592	1.0
all_nonempty_subsets	3	sinkhorn_ot	0.4258624980451358	5.0
all_nonempty_subsets	3	vae_latent	0.4694052604261844	4.0
all_nonempty_subsets	4	cpa_adapted	0.4879613587130239	4.0
all_nonempty_subsets	4	cvae_counterfactual	0.5114400365641181	1.0
all_nonempty_subsets	4	gene_linear	0.044503387819462954	7.0
all_nonempty_subsets	4	pca_latent	0.4362209461372852	6.0
all_nonempty_subsets	4	scgen_adapted	0.511130126742375	2.0
all_nonempty_subsets	4	sinkhorn_ot	0.4589826286177443	5.0
all_nonempty_subsets	4	vae_latent	0.5027956348377655	3.0
all_nonempty_subsets	5	cpa_adapted	0.4774963740442285	4.0
all_nonempty_subsets	5	cvae_counterfactual	0.4939262845220004	2.0
all_nonempty_subsets	5	gene_linear	0.046632452473460866	7.0
all_nonempty_subsets	5	pca_latent	0.4203378374604133	6.0
all_nonempty_subsets	5	scgen_adapted	0.49401032030176967	1.0
all_nonempty_subsets	5	sinkhorn_ot	0.4400743366964611	5.0
all_nonempty_subsets	5	vae_latent	0.48572396843337284	3.0
all_nonempty_subsets	6	cpa_adapted	0.5065165977504054	4.0
all_nonempty_subsets	6	cvae_counterfactual	0.5296544271856174	2.0
all_nonempty_subsets	6	gene_linear	0.04690515075299869	7.0
all_nonempty_subsets	6	pca_latent	0.44949893746860836	6.0
all_nonempty_subsets	6	scgen_adapted	0.5297267597522172	1.0
all_nonempty_subsets	6	sinkhorn_ot	0.4714002714752543	5.0
all_nonempty_subsets	6	vae_latent	0.5210348036927873	3.0
all_nonempty_subsets	7	cpa_adapted	0.4099289823355578	3.0
all_nonempty_subsets	7	cvae_counterfactual	0.4174808774998751	2.0
all_nonempty_subsets	7	gene_linear	0.035993462506667975	7.0
all_nonempty_subsets	7	pca_latent	0.3594698848700244	6.0
all_nonempty_subsets	7	scgen_adapted	0.418265431537056	1.0
all_nonempty_subsets	7	sinkhorn_ot	0.3783041461598261	5.0
all_nonempty_subsets	7	vae_latent	0.4093798019495828	4.0
all_nonempty_subsets	8	cpa_adapted	0.40018133144718515	1.0
all_nonempty_subsets	8	cvae_counterfactual	0.39879662077642064	3.0
all_nonempty_subsets	8	gene_linear	0.03672233317937854	7.0
all_nonempty_subsets	8	pca_latent	0.34112645463166896	6.0
all_nonempty_subsets	8	scgen_adapted	0.40010262171632177	2.0
all_nonempty_subsets	8	sinkhorn_ot	0.3554123464465688	5.0
all_nonempty_subsets	8	vae_latent	0.3909125575608542	4.0
all_nonempty_subsets	9	cpa_adapted	0.42727191121314656	3.0
all_nonempty_subsets	9	cvae_counterfactual	0.4328069193811287	2.0
all_nonempty_subsets	9	gene_linear	0.03879052622705172	7.0
all_nonempty_subsets	9	pca_latent	0.37023827520907227	6.0
all_nonempty_subsets	9	scgen_adapted	0.43459539347765175	1.0
all_nonempty_subsets	9	sinkhorn_ot	0.38682813705300234	5.0
all_nonempty_subsets	9	vae_latent	0.42466830909864484	4.0
all_nonempty_subsets	10	cpa_adapted	0.4134984825339311	3.0
all_nonempty_subsets	10	cvae_counterfactual	0.4194677857930975	2.0
all_nonempty_subsets	10	gene_linear	0.027597805815836225	7.0
all_nonempty_subsets	10	pca_latent	0.3672240745764286	6.0
all_nonempty_subsets	10	scgen_adapted	0.4233697430862798	1.0
all_nonempty_subsets	10	sinkhorn_ot	0.3806777325863919	5.0
all_nonempty_subsets	10	vae_latent	0.41329023983936436	4.0
all_nonempty_subsets	11	cpa_adapted	0.4095105383025594	1.0
all_nonempty_subsets	11	cvae_counterfactual	0.40524628875192537	3.0
all_nonempty_subsets	11	gene_linear	0.03182757453513421	7.0
all_nonempty_subsets	11	pca_latent	0.35463049988243484	6.0
all_nonempty_subsets	11	scgen_adapted	0.4088521196773819	2.0
all_nonempty_subsets	11	sinkhorn_ot	0.36365098104498716	5.0
all_nonempty_subsets	11	vae_latent	0.39785229698493285	4.0
all_nonempty_subsets	12	cpa_adapted	0.4356744718299853	3.0
all_nonempty_subsets	12	cvae_counterfactual	0.44010122161173776	2.0
all_nonempty_subsets	12	gene_linear	0.035105429728945245	7.0
all_nonempty_subsets	12	pca_latent	0.3840835423878162	6.0
all_nonempty_subsets	12	scgen_adapted	0.4441786375451819	1.0
all_nonempty_subsets	12	sinkhorn_ot	0.3955663894505403	5.0
all_nonempty_subsets	12	vae_latent	0.43325835165167614	4.0
all_nonempty_subsets	13	cpa_adapted	0.4532025102651365	4.0
all_nonempty_subsets	13	cvae_counterfactual	0.4741610668836685	2.0
