unordered_configuration	bootstrap_replicates
P7:Normoxia:P7_CTRL_RA_1,P7_CTRL_RA_2|P7:Hyperoxia:P7_CTRL_O2_1,P7_CTRL_O2_2|P14:Normoxia:P14_CTRL_RA_1,P14_CTRL_RA_2|P14:Hyperoxia:P14_CTRL_O2_2,P14_CTRL_O2_2	28
P7:Normoxia:P7_CTRL_RA_1,P7_CTRL_RA_2|P7:Hyperoxia:P7_CTRL_O2_1,P7_CTRL_O2_2|P14:Normoxia:P14_CTRL_RA_1,P14_CTRL_RA_2|P14:Hyperoxia:P14_CTRL_O2_1,P14_CTRL_O2_2	24
P7:Normoxia:P7_CTRL_RA_2,P7_CTRL_RA_2|P7:Hyperoxia:P7_CTRL_O2_1,P7_CTRL_O2_2|P14:Normoxia:P14_CTRL_RA_1,P14_CTRL_RA_2|P14:Hyperoxia:P14_CTRL_O2_1,P14_CTRL_O2_2	18
P7:Normoxia:P7_CTRL_RA_1,P7_CTRL_RA_2|P7:Hyperoxia:P7_CTRL_O2_1,P7_CTRL_O2_2|P14:Normoxia:P14_CTRL_RA_1,P14_CTRL_RA_1|P14:Hyperoxia:P14_CTRL_O2_1,P14_CTRL_O2_2	17
P7:Normoxia:P7_CTRL_RA_1,P7_CTRL_RA_2|P7:Hyperoxia:P7_CTRL_O2_1,P7_CTRL_O2_1|P14:Normoxia:P14_CTRL_RA_1,P14_CTRL_RA_2|P14:Hyperoxia:P14_CTRL_O2_1,P14_CTRL_O2_2	16
P7:Normoxia:P7_CTRL_RA_1,P7_CTRL_RA_2|P7:Hyperoxia:P7_CTRL_O2_1,P7_CTRL_O2_2|P14:Normoxia:P14_CTRL_RA_1,P14_CTRL_RA_2|P14:Hyperoxia:P14_CTRL_O2_1,P14_CTRL_O2_1	16
P7:Normoxia:P7_CTRL_RA_1,P7_CTRL_RA_2|P7:Hyperoxia:P7_CTRL_O2_1,P7_CTRL_O2_1|P14:Normoxia:P14_CTRL_RA_2,P14_CTRL_RA_2|P14:Hyperoxia:P14_CTRL_O2_1,P14_CTRL_O2_2	15
P7:Normoxia:P7_CTRL_RA_1,P7_CTRL_RA_2|P7:Hyperoxia:P7_CTRL_O2_1,P7_CTRL_O2_2|P14:Normoxia:P14_CTRL_RA_2,P14_CTRL_RA_2|P14:Hyperoxia:P14_CTRL_O2_1,P14_CTRL_O2_2	15
P7:Normoxia:P7_CTRL_RA_1,P7_CTRL_RA_1|P7:Hyperoxia:P7_CTRL_O2_1,P7_CTRL_O2_2|P14:Normoxia:P14_CTRL_RA_1,P14_CTRL_RA_2|P14:Hyperoxia:P14_CTRL_O2_1,P14_CTRL_O2_2	14
P7:Normoxia:P7_CTRL_RA_1,P7_CTRL_RA_2|P7:Hyperoxia:P7_CTRL_O2_1,P7_CTRL_O2_2|P14:Normoxia:P14_CTRL_RA_1,P14_CTRL_RA_1|P14:Hyperoxia:P14_CTRL_O2_1,P14_CTRL_O2_1	14
P7:Normoxia:P7_CTRL_RA_1,P7_CTRL_RA_1|P7:Hyperoxia:P7_CTRL_O2_2,P7_CTRL_O2_2|P14:Normoxia:P14_CTRL_RA_1,P14_CTRL_RA_2|P14:Hyperoxia:P14_CTRL_O2_1,P14_CTRL_O2_2	13
P7:Normoxia:P7_CTRL_RA_1,P7_CTRL_RA_2|P7:Hyperoxia:P7_CTRL_O2_2,P7_CTRL_O2_2|P14:Normoxia:P14_CTRL_RA_1,P14_CTRL_RA_2|P14:Hyperoxia:P14_CTRL_O2_1,P14_CTRL_O2_2	13
