analysis	configuration	method	mean_spearman_across_four_tasks	rank	removed_animal
leave_one_animal	1	cpa_adapted	0.4597041772098078	5.0	P7_CTRL_RA_1
leave_one_animal	1	cvae_counterfactual	0.46553919252126763	3.0	P7_CTRL_RA_1
leave_one_animal	1	gene_linear	0.08710148208707358	7.0	P7_CTRL_RA_1
leave_one_animal	1	pca_latent	0.44708078934441964	6.0	P7_CTRL_RA_1
leave_one_animal	1	scgen_adapted	0.47764944320099467	1.0	P7_CTRL_RA_1
leave_one_animal	1	sinkhorn_ot	0.4638755208865476	4.0	P7_CTRL_RA_1
leave_one_animal	1	vae_latent	0.4741113007657147	2.0	P7_CTRL_RA_1
leave_one_animal	2	cpa_adapted	0.4431899182542197	3.0	P7_CTRL_RA_2
leave_one_animal	2	cvae_counterfactual	0.4463239546343052	2.0	P7_CTRL_RA_2
leave_one_animal	2	gene_linear	0.036037620291367464	7.0	P7_CTRL_RA_2
leave_one_animal	2	pca_latent	0.3869564313620305	6.0	P7_CTRL_RA_2
leave_one_animal	2	scgen_adapted	0.4495045714043009	1.0	P7_CTRL_RA_2
leave_one_animal	2	sinkhorn_ot	0.40449039425227795	5.0	P7_CTRL_RA_2
leave_one_animal	2	vae_latent	0.4389637251976187	4.0	P7_CTRL_RA_2
leave_one_animal	3	cpa_adapted	0.3545795639788674	4.0	P7_CTRL_O2_1
leave_one_animal	3	cvae_counterfactual	0.3607828332333081	2.0	P7_CTRL_O2_1
leave_one_animal	3	gene_linear	0.02615700867562542	7.0	P7_CTRL_O2_1
leave_one_animal	3	pca_latent	0.31405057007646325	6.0	P7_CTRL_O2_1
leave_one_animal	3	scgen_adapted	0.3638932736436853	1.0	P7_CTRL_O2_1
leave_one_animal	3	sinkhorn_ot	0.3307624626686216	5.0	P7_CTRL_O2_1
leave_one_animal	3	vae_latent	0.35579822364570424	3.0	P7_CTRL_O2_1
leave_one_animal	4	cpa_adapted	0.38556656522171484	4.0	P7_CTRL_O2_2
leave_one_animal	4	cvae_counterfactual	0.39181760617742284	2.0	P7_CTRL_O2_2
leave_one_animal	4	gene_linear	0.05624341775638246	7.0	P7_CTRL_O2_2
leave_one_animal	4	pca_latent	0.34915836468989964	6.0	P7_CTRL_O2_2
leave_one_animal	4	scgen_adapted	0.3950243101855014	1.0	P7_CTRL_O2_2
leave_one_animal	4	sinkhorn_ot	0.3660917409547052	5.0	P7_CTRL_O2_2
leave_one_animal	4	vae_latent	0.3906610189646501	3.0	P7_CTRL_O2_2
leave_one_animal	5	cpa_adapted	0.4818174618288755	4.0	P14_CTRL_RA_1
leave_one_animal	5	cvae_counterfactual	0.5062241433746487	2.0	P14_CTRL_RA_1
leave_one_animal	5	gene_linear	0.05132122781518285	7.0	P14_CTRL_RA_1
leave_one_animal	5	pca_latent	0.4435751231869952	6.0	P14_CTRL_RA_1
leave_one_animal	5	scgen_adapted	0.5067907620291864	1.0	P14_CTRL_RA_1
leave_one_animal	5	sinkhorn_ot	0.4681975365078182	5.0	P14_CTRL_RA_1
leave_one_animal	5	vae_latent	0.5015525633406653	3.0	P14_CTRL_RA_1
leave_one_animal	6	cpa_adapted	0.4457341843563429	4.0	P14_CTRL_RA_2
leave_one_animal	6	cvae_counterfactual	0.4539499074812186	2.0	P14_CTRL_RA_2
leave_one_animal	6	gene_linear	0.056624510472155026	7.0	P14_CTRL_RA_2
leave_one_animal	6	pca_latent	0.40759662949155495	6.0	P14_CTRL_RA_2
leave_one_animal	6	scgen_adapted	0.4556290585165612	1.0	P14_CTRL_RA_2
leave_one_animal	6	sinkhorn_ot	0.4226597630776997	5.0	P14_CTRL_RA_2
leave_one_animal	6	vae_latent	0.4499230200740624	3.0	P14_CTRL_RA_2
leave_one_animal	7	cpa_adapted	0.3754821955256554	2.0	P14_CTRL_O2_1
leave_one_animal	7	cvae_counterfactual	0.37536633696545196	3.0	P14_CTRL_O2_1
leave_one_animal	7	gene_linear	0.0411384102415627	7.0	P14_CTRL_O2_1
leave_one_animal	7	pca_latent	0.3352026403500558	6.0	P14_CTRL_O2_1
leave_one_animal	7	scgen_adapted	0.37716662399329093	1.0	P14_CTRL_O2_1
leave_one_animal	7	sinkhorn_ot	0.3522096114791327	5.0	P14_CTRL_O2_1
leave_one_animal	7	vae_latent	0.37143031720873215	4.0	P14_CTRL_O2_1
leave_one_animal	8	cpa_adapted	0.385229846414028	4.0	P14_CTRL_O2_2
leave_one_animal	8	cvae_counterfactual	0.39405059368890644	2.0	P14_CTRL_O2_2
leave_one_animal	8	gene_linear	0.04040953956885214	7.0	P14_CTRL_O2_2
leave_one_animal	8	pca_latent	0.35354607058841125	6.0	P14_CTRL_O2_2
leave_one_animal	8	scgen_adapted	0.3953294338140252	1.0	P14_CTRL_O2_2
leave_one_animal	8	sinkhorn_ot	0.37510141119239	5.0	P14_CTRL_O2_2
leave_one_animal	8	vae_latent	0.38989756159746075	3.0	P14_CTRL_O2_2
