analysis	configuration	method	mean_spearman_across_four_tasks	rank
one_pair_per_age_oxygen_stratum	1	cpa_adapted	0.44825733098181847	4.0
one_pair_per_age_oxygen_stratum	1	cvae_counterfactual	0.45674675547354704	2.0
one_pair_per_age_oxygen_stratum	1	gene_linear	0.04470080949686184	7.0
one_pair_per_age_oxygen_stratum	1	pca_latent	0.39666097596178046	6.0
one_pair_per_age_oxygen_stratum	1	scgen_adapted	0.4577561617806899	1.0
one_pair_per_age_oxygen_stratum	1	sinkhorn_ot	0.41097384118098745	5.0
one_pair_per_age_oxygen_stratum	1	vae_latent	0.44943714861387263	3.0
one_pair_per_age_oxygen_stratum	2	cpa_adapted	0.44426938675044675	1.0
one_pair_per_age_oxygen_stratum	2	cvae_counterfactual	0.4425252584323749	3.0
one_pair_per_age_oxygen_stratum	2	gene_linear	0.04893057821615983	7.0
one_pair_per_age_oxygen_stratum	2	pca_latent	0.3840674012677867	6.0
one_pair_per_age_oxygen_stratum	2	scgen_adapted	0.44323853837179206	2.0
one_pair_per_age_oxygen_stratum	2	sinkhorn_ot	0.3939470896395827	5.0
one_pair_per_age_oxygen_stratum	2	vae_latent	0.43399920575944106	4.0
one_pair_per_age_oxygen_stratum	3	cpa_adapted	0.4879613587130239	4.0
one_pair_per_age_oxygen_stratum	3	cvae_counterfactual	0.5114400365641181	1.0
one_pair_per_age_oxygen_stratum	3	gene_linear	0.044503387819462954	7.0
one_pair_per_age_oxygen_stratum	3	pca_latent	0.4362209461372852	6.0
one_pair_per_age_oxygen_stratum	3	scgen_adapted	0.511130126742375	2.0
one_pair_per_age_oxygen_stratum	3	sinkhorn_ot	0.4589826286177443	5.0
one_pair_per_age_oxygen_stratum	3	vae_latent	0.5027956348377655	3.0
one_pair_per_age_oxygen_stratum	4	cpa_adapted	0.4774963740442285	4.0
one_pair_per_age_oxygen_stratum	4	cvae_counterfactual	0.4939262845220004	2.0
one_pair_per_age_oxygen_stratum	4	gene_linear	0.046632452473460866	7.0
one_pair_per_age_oxygen_stratum	4	pca_latent	0.4203378374604133	6.0
one_pair_per_age_oxygen_stratum	4	scgen_adapted	0.49401032030176967	1.0
one_pair_per_age_oxygen_stratum	4	sinkhorn_ot	0.4400743366964611	5.0
one_pair_per_age_oxygen_stratum	4	vae_latent	0.48572396843337284	3.0
one_pair_per_age_oxygen_stratum	5	cpa_adapted	0.4134984825339311	3.0
one_pair_per_age_oxygen_stratum	5	cvae_counterfactual	0.4194677857930975	2.0
one_pair_per_age_oxygen_stratum	5	gene_linear	0.027597805815836225	7.0
one_pair_per_age_oxygen_stratum	5	pca_latent	0.3672240745764286	6.0
one_pair_per_age_oxygen_stratum	5	scgen_adapted	0.4233697430862798	1.0
one_pair_per_age_oxygen_stratum	5	sinkhorn_ot	0.3806777325863919	5.0
one_pair_per_age_oxygen_stratum	5	vae_latent	0.41329023983936436	4.0
one_pair_per_age_oxygen_stratum	6	cpa_adapted	0.4095105383025594	1.0
one_pair_per_age_oxygen_stratum	6	cvae_counterfactual	0.40524628875192537	3.0
one_pair_per_age_oxygen_stratum	6	gene_linear	0.03182757453513421	7.0
one_pair_per_age_oxygen_stratum	6	pca_latent	0.35463049988243484	6.0
one_pair_per_age_oxygen_stratum	6	scgen_adapted	0.4088521196773819	2.0
one_pair_per_age_oxygen_stratum	6	sinkhorn_ot	0.36365098104498716	5.0
one_pair_per_age_oxygen_stratum	6	vae_latent	0.39785229698493285	4.0
one_pair_per_age_oxygen_stratum	7	cpa_adapted	0.4532025102651365	4.0
one_pair_per_age_oxygen_stratum	7	cvae_counterfactual	0.4741610668836685	2.0
one_pair_per_age_oxygen_stratum	7	gene_linear	0.02740038413843734	7.0
one_pair_per_age_oxygen_stratum	7	pca_latent	0.4067840447519333	6.0
one_pair_per_age_oxygen_stratum	7	scgen_adapted	0.47674370804796484	1.0
one_pair_per_age_oxygen_stratum	7	sinkhorn_ot	0.4286865200231487	5.0
one_pair_per_age_oxygen_stratum	7	vae_latent	0.4666487260632572	3.0
one_pair_per_age_oxygen_stratum	8	cpa_adapted	0.44273752559634116	4.0
one_pair_per_age_oxygen_stratum	8	cvae_counterfactual	0.45664731484155086	2.0
