gene	gene_canonical	baseMean	log2FoldChange_mle	lfcSE_mle	padj	de_class	is_core	neglog10_fdr	locked33
Inhba	INHBA	1393.65192082695	5.80041876648999	0.155115831436122	7.09109551961611e-302	Up	False	300.0	False
Zmat3	ZMAT3	1443.3320817964	2.64563340903558	0.0808456442734257	5.0968717052445996e-231	Up	False	230.29269629801922	True
Eda2r	EDA2R	703.12509354485	5.33611018501266	0.171971595400566	1.0625323900856099e-207	Up	False	206.9736578221049	False
Timp3	TIMP3	15063.2004589355	2.24697616125124	0.0775879570542549	7.56148130940888e-181	Up	False	180.12139311700093	False
Ecm1	ECM1	3282.41082106056	1.22990692808415	0.0428346742308266	7.67173556662209e-178	Up	False	177.11510637506785	True
Gdf15	GDF15	667.022005539027	3.50346947893547	0.124201858644033	1.13625483446267e-171	Up	False	170.94452425595833	True
Phlda3	PHLDA3	2624.13399534899	2.16264259350914	0.0783314941128194	1.8120015574199397e-164	Up	False	163.74184143338184	True
Fat1	FAT1	2011.56099272345	1.93599066132193	0.0711915199444775	1.38730148330036e-159	Up	False	158.85782914937676	False
Ccdc184	CCDC184	390.374895004714	3.39165002401674	0.126101269789077	3.93139549526806e-156	Up	False	155.40545326430183	False
Ntrk2	NTRK2	2153.87542387039	-3.01685045242677	0.115695930839026	1.00191509403819e-146	Down	False	145.99916908061755	False
Cdkn1a	CDKN1A	9441.42050209105	2.44031657643413	0.0963310336456385	1.84927360729236e-138	Up	False	137.73299882851285	True
Lmna	LMNA	5924.85871544608	1.45656518023195	0.0576724405755206	1.18578831928145e-137	Up	False	136.92599283202833	True
Sulf2	SULF2	974.526517488461	2.03998973348024	0.0815483706009922	4.62022815258206e-135	Up	False	134.33533657791554	False
Serpine1	SERPINE1	5000.57677987007	2.50289039493867	0.100463541153492	5.535927812832e-134	Up	False	133.25680958161004	False
Col6a1	COL6A1	1839.18676350738	2.59003012559138	0.103988431402632	6.078647112235669e-134	Up	False	133.21619306827162	False
Hapln1	HAPLN1	1202.19340168153	3.07343847501498	0.123564321746278	1.3208654457353002e-133	Up	False	132.87914142095548	True
Aen	AEN	797.211802588101	1.97351008196082	0.0821363196950601	1.23635784519592e-124	Up	False	123.90785581104232	False
Ephx1	EPHX1	3066.28046512885	1.45187399164422	0.0624808543668974	1.5536730146316298e-116	Up	False	115.80864037735206	False
Prnp	PRNP	1353.76433648709	1.79304216492591	0.0772234658697991	2.24940496624269e-116	Up	False	115.64793235035715	True
Bax	BAX	1752.55003762777	1.43132163315623	0.0628114141308644	4.429956020646401e-112	Up	False	111.35360058530863	True
Gpx3	GPX3	609.644421711918	2.65216390268127	0.119791182375272	9.05067588191657e-106	Up	False	105.04331898755431	False
Adgrg1	ADGRG1	1174.18942046936	2.38120632470323	0.108151952140727	1.30331473381897e-104	Up	False	103.88495069506607	False
Lilr4b	LILR4B	563.118171464564	2.22353874470493	0.104519738024774	1.2549564048612802e-97	Up	False	96.9013713606029	False
Tmod2	TMOD2	3943.93045896225	1.10400957773168	0.0529474989384852	9.05054144161519e-94	Up	False	93.0433254386874	False
Slc12a2	SLC12A2	2631.41493445389	1.23236331219468	0.0593135902119757	4.06329614308136e-93	Up	False	92.39112152406317	False
Exoc4	EXOC4	2136.49335184636	1.27844473618188	0.0634727957624651	1.78492415242786e-87	Up	False	86.74838023382736	False
Ccng1	CCNG1	1316.0826243098	1.7045829591901	0.0852342587918323	3.04189720526184e-86	Up	False	85.51685546613504	True
Mgat5	MGAT5	1202.01497732128	1.62532145656874	0.0823792603389554	6.22827900769679e-84	Up	False	83.20563194061435	False
Ces2e	CES2E	468.843016883292	2.06236329595986	0.10575550427152	5.37961069084056e-82	Up	False	81.26924915201712	False
Gtse1	GTSE1	312.829954894096	2.32160549599378	0.119188611682722	8.12268634514286e-82	Up	False	81.09030031658021	False
Itga3	ITGA3	7890.97117865482	0.994271184310539	0.0512005706342632	2.49711098019015e-81	Not threshold-positive	False	80.60256215568104	False
Trp53inp1	TRP53INP1	1730.37528074005	1.3541339936193	0.069893117588786	5.78020465377136e-81	Up	False	80.23805678468844	False
Ptpn7	PTPN7	298.42793392989	2.30483672144389	0.120036749388199	1.59879656158795e-79	Up	False	78.79620679441555	False
Adam12	ADAM12	1820.55402681604	1.24582290947545	0.0650188757995125	3.35887521109076e-79	Up	False	78.47380613076429	False
Filip1l	FILIP1L	1946.00799508904	0.933220609823719	0.0500393322954373	5.2782364719645e-75	Not threshold-positive	False	74.27751115671379	False
Tinagl1	TINAGL1	2477.96435402006	1.9984268997496	0.107375292786417	1.04635846451995e-74	Up	False	73.98031950811367	True
Sh3bgrl2	SH3BGRL2	408.853471586474	2.04389916214366	0.110116190276082	2.60060484279754e-74	Up	False	73.58492563305215	False
Cpt1c	CPT1C	201.1067302693	3.24792068847715	0.176569932339991	5.5676253215469304e-73	Up	False	72.25432999865966	False
Clca3a1	CLCA3A1	440.738471316448	2.78344365999829	0.1518366928707	1.72158369519022e-72	Up	False	71.76407185911921	False
Rnf169	RNF169	1048.40055328815	1.19007138506874	0.0651351308979655	5.1446330222156e-72	Up	False	71.28864559896004	False
Gpnmb	GPNMB	189.639733031673	3.51275113154297	0.192779031326199	1.23412761037224e-71	Up	False	70.90863993137641	False
Tmeff1	TMEFF1	1640.27109622951	-0.88126520671529	0.0486427975259587	8.10081706850746e-71	Not threshold-positive	False	70.09147117489319	False
Gfpt2	GFPT2	219.650837611262	2.55127722995779	0.140923667371848	1.00399278710773e-70	Up	False	69.99826940724137	False
Cdk19	CDK19	1905.24284065744	-1.33670104527364	0.0743379520613189	9.0161363296492e-70	Down	False	69.04497953010672	False
Enpp2	ENPP2	1285.28014737632	-1.25933942008468	0.0702949986488534	2.91067251482121e-69	Down	False	68.53600665509254	False
Tmem255a	TMEM255A	485.259148002658	3.1054303430384	0.173963942978828	8.985657380086509e-69	Up	False	68.04645014492111	False
Olfml2b	OLFML2B	283.130586433663	2.69412692170731	0.152412210408009	1.96803773585502e-67	Up	False	66.70596657850808	False
Pfkfb3	PFKFB3	1619.03617433848	1.41216749168233	0.0804543946929154	1.72953801797056e-66	Up	False	65.76206988706774	False
Ano3	ANO3	177.862863513116	6.28228748846476	0.364612692883555	4.69662774726483e-64	Up	False	63.32821386045023	False
Adgrl2	ADGRL2	19710.2906736142	0.81819465964881	0.0475178601682344	5.60045262725115e-64	Not threshold-positive	False	63.25177687199848	False
