pathway	evidence_column	NES	padj	pathway_label	significance	nes_fill
HALLMARK_APOPTOSIS	Bulk discovery	1.78103821842059	0.0001797679128792	Apoptosis	*	1.78103821842059
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Bulk discovery	2.62273321816577	2.01480534371292e-20	EMT-like program	*	2.62273321816577
HALLMARK_MTORC1_SIGNALING	Bulk discovery	1.72065188159431	0.0001010732053767	mTORC1 signaling	*	1.72065188159431
HALLMARK_OXIDATIVE_PHOSPHORYLATION	Bulk discovery	1.75019062937677	7.94719789754396e-05	Oxidative phosphorylation	*	1.75019062937677
HALLMARK_P53_PATHWAY	Bulk discovery	1.99372127031431	2.63348298913754e-07	p53 pathway	*	1.99372127031431
HALLMARK_APOPTOSIS	Art	1.65077127373633	0.0158575964453079	Apoptosis	*	1.65077127373633
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Art	2.45586050478784	3.50416280610891e-08	EMT-like program	*	2.45586050478784
HALLMARK_MTORC1_SIGNALING	Art	1.73870107547711	0.0061135276452128	mTORC1 signaling	*	1.73870107547711
HALLMARK_OXIDATIVE_PHOSPHORYLATION	Art	1.95594594265028	0.000127143309423	Oxidative phosphorylation	*	1.95594594265028
HALLMARK_P53_PATHWAY	Art	1.30482675544334	0.174380990415335	p53 pathway		1.30482675544334
HALLMARK_APOPTOSIS	Cap	1.86696546197845	0.000197807135029	Apoptosis	*	1.86696546197845
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Cap	2.24117630801582	1.24072489780034e-08	EMT-like program	*	2.24117630801582
HALLMARK_MTORC1_SIGNALING	Cap	2.19685552731091	1.24072489780034e-08	mTORC1 signaling	*	2.19685552731091
HALLMARK_OXIDATIVE_PHOSPHORYLATION	Cap	2.41562376689197	2.6746310260200297e-12	Oxidative phosphorylation	*	2.41562376689197
HALLMARK_P53_PATHWAY	Cap	1.74444825283984	0.0006007703582475	p53 pathway	*	1.74444825283984
HALLMARK_APOPTOSIS	Cap-a	1.65639444053633	0.00746391755625	Apoptosis	*	1.65639444053633
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Cap-a	2.00838815888447	2.01392688686629e-05	EMT-like program	*	2.00838815888447
HALLMARK_MTORC1_SIGNALING	Cap-a	1.9498595232838	2.01392688686629e-05	mTORC1 signaling	*	1.9498595232838
HALLMARK_OXIDATIVE_PHOSPHORYLATION	Cap-a	2.51771936021519	9.81250909271002e-14	Oxidative phosphorylation	*	2.51771936021519
HALLMARK_P53_PATHWAY	Cap-a	1.52585425009141	0.0182564698693731	p53 pathway	*	1.52585425009141
HALLMARK_APOPTOSIS	Lymph	1.18928117640652	0.292481186607045	Apoptosis		1.18928117640652
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Lymph	1.24782724301455	0.281100216781687	EMT-like program		1.24782724301455
HALLMARK_MTORC1_SIGNALING	Lymph	2.04204939625091	0.0019885858561638	mTORC1 signaling	*	2.04204939625091
HALLMARK_OXIDATIVE_PHOSPHORYLATION	Lymph	2.4514251752115	4.00912769780655e-07	Oxidative phosphorylation	*	2.4514251752115
HALLMARK_P53_PATHWAY	Lymph	1.287751171569	0.252801960570464	p53 pathway		1.287751171569
HALLMARK_APOPTOSIS	Vein	1.32216251016915	0.171589873530262	Apoptosis		1.32216251016915
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Vein	1.67849006435828	0.0207621726609068	EMT-like program	*	1.67849006435828
HALLMARK_MTORC1_SIGNALING	Vein	1.90123665978761	0.0031352204478422	mTORC1 signaling	*	1.90123665978761
HALLMARK_OXIDATIVE_PHOSPHORYLATION	Vein	2.53252419888106	1.1551233454073301e-10	Oxidative phosphorylation	*	2.53252419888106
HALLMARK_P53_PATHWAY	Vein	1.76274595746041	0.0184433982687325	p53 pathway	*	1.76274595746041
