gene	external_studies_tested	external_animals_total	direction_concordant_studies	all_external_directions_concordant	stouffer_z	meta_p_two_sided	meta_direction_matches_discovery	median_external_log2FC	median_discovery_oriented_external_log2FC	discovery_log2FC	in_multisubtype_33	meta_fdr_bh	externally_meta_replicated	neglog10_fdr	class
Cdkn1a	3	20	3	True	9.1070594339301	8.464502504954883e-20	True	2.71806872479717	2.71806872479717	2.4403165764341286	True	8.379857479905335e-18	True	17.076763367553138	33-gene set
Gdf15	3	20	3	True	8.980349608762149	2.6990774622214996e-19	True	5.18426849956355	5.18426849956355	3.503469478935469	True	1.7813911250661902e-17	True	16.749240715680568	33-gene set
Phlda3	3	20	3	True	8.166445538537499	3.1760868693893287e-16	True	2.11933933052448	2.11933933052448	2.1626425935091365	True	1.2577304002781742e-14	True	13.900412441736151	33-gene set
Kit	3	20	3	True	-8.00291664367277	1.2150619779476994e-15	True	-3.30822908202909	3.30822908202909	-1.2876073407768176	False	4.009704527227408e-14	True	13.396887629106143	Other 198-gene members
Cyp26b1	3	20	3	True	-7.934184358135466	2.1188315988746066e-15	True	-2.80498853221446	2.80498853221446	-1.6042458384948604	True	5.2482533667748383e-14	True	13.2799852069525	33-gene set
Tnfrsf12a	3	20	3	True	7.934086284091388	2.1205064108181167e-15	True	2.42906068674843	2.42906068674843	1.474263196249486	False	5.2482533667748383e-14	True	13.2799852069525	Other 198-gene members
Timp3	3	20	3	True	7.84816928675992	4.221541322025066e-15	True	1.76341961155623	1.76341961155623	2.246976161251243	False	8.35865181760963e-14	True	13.077863765071635	Other 198-gene members
AU020206	3	20	3	True	-7.639703770546263	2.1772207710496228e-14	True	-2.68202366015467	2.68202366015467	-1.1741388328285491	False	3.8517864474552773e-13	True	12.414337799237721	Other 198-gene members
Zmat3	3	20	3	True	7.585133841705561	3.3214402327034513e-14	True	2.53911097653605	2.53911097653605	2.6456334090355784	True	5.058808969809871e-13	True	12.295951720062446	33-gene set
Ackr3	3	20	3	True	7.562046809840841	3.9677553168787664e-14	True	1.59537391996472	1.59537391996472	1.1930854920870542	False	5.611539662442827e-13	True	12.250917963135638	Other 198-gene members
Ecm1	3	20	3	True	7.510769015500595	5.878102879575476e-14	True	2.13738412949065	2.13738412949065	1.2299069280841544	True	7.759095801039628e-13	True	12.110188885893738	33-gene set
Bax	3	20	3	True	7.464395880887093	8.36826544001633e-14	True	1.72760371776574	1.72760371776574	1.431321633156233	True	1.035572848202021e-12	True	11.984819344902501	33-gene set
Sox11	3	20	3	True	-7.396193092029335	1.4014417799748977e-13	True	-1.80692396207035	1.80692396207035	-1.29672944079616	True	1.6322674849119397e-12	True	11.787208670519425	33-gene set
Lmna	3	20	3	True	7.344461059403237	2.0658982708282882e-13	True	1.81000325536863	1.81000325536863	1.45656518023195	True	2.2724880979111164e-12	True	11.643498382704482	33-gene set
Cadm1	3	20	3	True	-7.152192871236973	8.540245686755601e-13	True	-1.40499459855676	1.40499459855676	-1.0865582588036855	False	8.454843229888047e-12	True	11.072894440700864	Other 198-gene members
Stk4	3	20	3	True	-7.12071323583806	1.0736997797072482e-12	True	-1.34578993939148	1.34578993939148	-1.260362113575773	False	9.663298017365231e-12	True	11.014874626555914	Other 198-gene members
S100a6	3	20	3	True	7.108708041115681	1.1713423364747154e-12	True	2.05723293831366	2.05723293831366	1.642662315592485	True	1.0083729679217116e-11	True	10.996378805240527	33-gene set
Ccnd1	3	20	3	True	7.03939953101061	1.930700350505803e-12	True	1.31017895989702	1.31017895989702	1.1608537082829076	True	1.5928277891672874e-11	True	10.797831176023884	33-gene set
Rps27l	3	20	3	True	7.00571245501463	2.457321341707245e-12	True	1.12317924022467	1.12317924022467	1.0907386884763768	True	1.946198502632138e-11	True	10.710812865916996	33-gene set
Abi3bp	3	20	3	True	-6.89232571336732	5.488751967222814e-12	True	-2.23622137811878	2.23622137811878	-1.1299101491565706	True	4.025084775963397e-11	True	10.395224968129561	33-gene set
Hapln1	3	20	3	True	6.862911099829046	6.74712192938219e-12	True	3.150447662711	3.150447662711	3.073438475014981	True	4.6066556621299085e-11	True	10.33661424913777	33-gene set
Tgfb2	3	20	3	True	6.86684283581666	6.563831372309787e-12	True	2.95265975746854	2.95265975746854	1.529180819566117	False	4.6066556621299085e-11	True	10.33661424913777	Other 198-gene members
Wif1	3	20	3	True	-6.853256860057645	7.218729755114628e-12	True	-2.02647210897962	2.02647210897962	-1.8793145953137247	False	4.764361638375655e-11	True	10.32199528086052	Other 198-gene members
Icam1	3	20	3	True	6.793808681604958	1.092111961114917e-11	True	1.64154398369051	1.64154398369051	1.1163001265092496	False	6.975424783895276e-11	True	10.156429339927568	Other 198-gene members
