population	signature	analysis	permutation_p_value	n_donors	n_BPD	n_normal	beta_median	hc3_se	beta_q025	beta_q975	t_value	df_residual	p_value	fdr_bh_across_primary_tests	population_label	signature_label	method	target_cells_per_donor	repetitions	fraction_beta_positive	target_library_UMIs
all_endothelium	strict_25	primary	0.8453154684531546	21.0	13.0	8.0	0.0369690639662421	0.1698668374757321	-0.3214186358973376	0.3953567638298219	0.2176355580383587	17.0	0.8303038704581055	0.9880927881521464	All endothelium	Strict 25	full_pseudobulk				
capillary_combined	strict_25	primary	0.9285071492850716	21.0	13.0	8.0	0.0142235191166008	0.1676106633490998	-0.3394040694283054	0.3678511076615072	0.0848604667053677	17.0	0.9333636955993352	0.9880927881521464	CAP1 + CAP2	Strict 25	full_pseudobulk				
CAP1	strict_25	primary	0.6738326167383262	21.0	13.0	8.0	0.0731996250913937	0.1714325275207399	-0.2884913920192019	0.4348906422019894	0.4269879593447521	17.0	0.6747468177401209	0.9880927881521464	CAP1	Strict 25	full_pseudobulk				
CAP2	strict_25	primary	0.5096490350964904	21.0	13.0	8.0	0.0854357666741134	0.1421410470192574	-0.2144556285766538	0.3853271619248806	0.6010632992068676	17.0	0.5557282312204915	0.9880927881521464	CAP2	Strict 25	full_pseudobulk				
all_endothelium	strict_25						0.0133128094289758		-0.0824067971434209	0.1223985699449925							equal_cells	99.0	200.0	0.6	
capillary_combined	strict_25						-0.0563076083776814		-0.1504357315557486	0.0416052135421593							equal_cells	36.0	200.0	0.115	
CAP1	strict_25						-0.1153374946762448		-0.2210627587149244	-0.0307035052215834							equal_cells	15.0	200.0	0.005	
CAP2	strict_25						-0.0805048140691087		-0.1591795572048506	0.0041733255194178							equal_cells	18.0	200.0	0.04	
all_endothelium	strict_25						0.0628523950113782		-0.0436981067278929	0.1456535167877953							equal_UMIs		200.0	0.85	124790.0
capillary_combined	strict_25						0.0158474368165804		-0.0617543186910284	0.1100456008811966							equal_UMIs		200.0	0.635	33105.0
CAP1	strict_25						0.0008102249963317		-0.0685553323685164	0.0803598611958936							equal_UMIs		200.0	0.515	14212.0
CAP2	strict_25						0.013031209805442		-0.0536522776156867	0.0887123445521731							equal_UMIs		200.0	0.655	18893.0
