gene	log2FC	p_value	fdr_bh	study	n_animals	signed_z	bulk_log2FC_hyperoxia_vs_air	concordant_endothelial_subtypes	discovery_direction	in_multisubtype_33	discovery_oriented_effect	direction_concordant
Serpine2	0.931316366333755	0.0106499936661019	0.310786046347322	GSE243129	4	2.5539781593535755	2.028358829521411	4	1.0	True	0.931316366333755	True
Phlda3	1.10005228512982	5.62826267792699e-05	0.0353301398100781	GSE243129	4	4.027877612539013	2.1626425935091365	5	1.0	True	1.10005228512982	True
Prnp	1.50514525966186	4.40646923979925e-05	0.0338074112231265	GSE243129	4	4.085063878390687	1.793042164925908	3	1.0	True	1.50514525966186	True
Zmat3	0.640325420070246	0.245655402491492	0.708516390804738	GSE243129	4	1.1609667967463584	2.6456334090355784	3	1.0	True	0.640325420070246	True
Lmna	0.417828154601655	0.0722012449047331	0.508674470993547	GSE243129	4	1.7978470758955436	1.45656518023195	3	1.0	True	0.417828154601655	True
S100a6	0.589513065769648	0.198669715348574	0.667873697525829	GSE243129	4	1.2853508296619356	1.642662315592485	4	1.0	True	0.589513065769648	True
Ecm1	0.165041851371157	0.533504594249462	0.87655736539572	GSE243129	4	0.6226651414556497	1.2299069280841544	3	1.0	True	0.165041851371157	True
Ddah1	0.344724624359615	0.0533928320009333	0.474488423380238	GSE243129	4	1.931730064200907	1.04188620744289	3	1.0	True	0.344724624359615	True
Tinagl1	1.64625598498046	3.48505838585565e-05	0.0336295619120208	GSE243129	4	4.139208679000397	1.9984268997495973	3	1.0	True	1.64625598498046	True
Sparcl1	0.106027973411871	0.547393853330707	0.883074189575881	GSE243129	4	0.6016699548268551	-1.844907626643087	3	-1.0	True	-0.106027973411871	False
Hoxa5	-0.343729699193519	0.109358307173078	0.56067717934898	GSE243129	4	-1.6010840375877875	-1.1623023182226997	4	-1.0	True	0.343729699193519	True
Cyp26b1	-2.04930840786831	0.0022598188147917	0.185762487096866	GSE243129	4	-3.0537744910547744	-1.6042458384948604	3	-1.0	True	2.04930840786831	True
Bax	0.230498685749203	0.208782030965118	0.677037602298144	GSE243129	4	1.2569215867347248	1.431321633156233	4	1.0	True	0.230498685749203	True
Ccnd1	0.630558828815362	0.0013680918625795	0.154493619850153	GSE243129	4	3.20129963376104	1.1608537082829076	5	1.0	True	0.630558828815362	True
Gdf15	2.48099111619686	0.0026286859886991	0.206262235817815	GSE243129	4	3.008120831392875	3.503469478935469	3	1.0	True	2.48099111619686	True
Tox3	-0.0531890863978897	0.814718632738885	0.963200923905301	GSE243129	4	-0.2343430943372774	-1.1031031164431853	3	-1.0	True	0.0531890863978897	True
Rps27l	0.278756844560447	0.0602339387580914	0.484437349528966	GSE243129	4	1.8790773030472745	1.0907386884763768	4	1.0	True	0.278756844560447	True
Ccng1	-0.224820632998106	0.590127288657727	0.901909899995929	GSE243129	4	-0.538651581610791	1.7045829591900976	3	1.0	True	-0.224820632998106	False
Dcxr	-0.197970890258883	0.717240253471018	0.936190578651445	GSE243129	4	-0.3621495821856377	2.3751680302137603	3	1.0	True	-0.197970890258883	False
Odc1	0.653363241184796	0.0147360672578523	0.327580624398112	GSE243129	4	2.438801328982147	1.0990251574347687	3	1.0	True	0.653363241184796	True
Sox11	-0.597822138079606	0.0116633635490668	0.315664126112426	GSE243129	4	-2.5221690697659027	-1.29672944079616	3	-1.0	True	0.597822138079606	True
Meg3	0.0495041772006646	0.907001485383541	0.982838580051338	GSE243129	4	0.1168215258526258	1.356355205534261	3	1.0	True	0.0495041772006646	True
