evidence_unit	pathway	pval	padj	log2err	ES	NES	size	leadingEdge	collection	direction	study	contrast	compartment	frozen_direction_sign	direction_concordant	externally_fdr05_and_concordant	signed_NES	pathway_label	locked_direction_NES
GSE209664__hyperoxia_vs_room_air_sex_adjusted__capillaries	GOBP_ELECTRON_TRANSPORT_CHAIN	1e-06	9e-06		0.561443175038124	2.23496912972613	84	Ndufa12;Plec;Sdhb;Ndufs3;Ndufa11;mt-Co2;Ndufa7;Cox5a;Pink1;Cox5b;Cox8a;Cyc1;Sdhd;Iscu;Uqcrc1;Ndufv1;Uqcrfs1;Ndufv2;Uqcrq;mt-Nd2;Cycs;Cox6a1;Ndufb9;Park7;Dnajc15;Sod2;mt-Cytb;Mybbp1a;Ndufb6;Ndufs4;Uqcrb;Coq7;Sdhaf2;Cox7b;Uqcrc2;Chchd2;Ndufs8;mt-Co1;Cox7a2;Ndufs7;Ndufa10;Sdha;Por;Ndufb8	GO_BP	up	GSE209664	hyperoxia_vs_room_air_sex_adjusted	capillaries	1	True	True	2.23496912972613	Electron transport chain	2.23496912972613
GSE209664__hyperoxia_vs_room_air_sex_adjusted__capillaries	GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_DNA_DAMAGE	0.0007759228964572	0.0023199272082454	0.477270815362862	0.430519063836136	1.7091787176569	81	Cdkn1a;Bax;Rps27l;Ackr3;Aen;Phlda3;Epha2;Mcl1;Pmaip1;Bbc3;Mif;Bcl2;Sfn;Skil;Ei24;Ercc6;Bok;Crip1	GO_BP	up	GSE209664	hyperoxia_vs_room_air_sex_adjusted	capillaries	1	True	True	1.7091787176569	DNA-damage apoptosis	1.7091787176569
GSE209664__hyperoxia_vs_room_air_sex_adjusted__capillaries	HALLMARK_APOPTOSIS	0.0001234690743602	0.0005559411313334	0.518848077743792	0.42500974294106	1.77993216489048	115	Plat;Cdkn1a;Bax;Tnfrsf12a;Lmna;Tgfb2;Timp3;Sat1;Sqstm1;Igf2r;Ccnd1;Emp1;Slc20a1;Ddit3;Rela;Mcl1;Bcl10;Gpx1;Pmaip1;Tspo;Vdac2;Mgmt;Timp1	Hallmark	up	GSE209664	hyperoxia_vs_room_air_sex_adjusted	capillaries	1	True	True	1.77993216489048	Apoptosis	1.77993216489048
GSE209664__hyperoxia_vs_room_air_sex_adjusted__capillaries	HALLMARK_OXIDATIVE_PHOSPHORYLATION	1e-06	9e-06		0.534434923639708	2.36942584377612	164	Bax;Atp6v0e;Mgst3;Sdhb;Slc25a3;Ndufs3;Timm17a;Timm13;Timm50;Vdac2;Mdh2;Ndufab1;Ndufa7;Ndufa9;Cox5a;Hspa9;Cox5b;Atp6v1g1;Cox8a;Atp6v1d;Cyc1;Mrpl35;Grpel1;Sdhd;Gpx4;Iscu;Cyb5r3;Timm10;Uqcrc1;Ndufv1;Uqcrfs1;Ndufv2;Slc25a4;Uqcrq;Atp6v1f;Atp6v1e1;Phb2;Gpi1;Mrps15;Timm9;Timm8b;Mrpl11;Cox6a1;Mrps11;Vdac1;Eci1;Prdx3;Tomm22;Mrpl15;Idh3a;Dlat;Mrps30;Ndufb6;Ndufs4;Uqcrb;Cox6c;Mrps22;Cox10;Dlst;Cox7b;Cox17;Uqcrc2;Ndufs8;Atp6v1h;Cox7a2;Hccs;Atp6v0b;Ndufs7;Glud1	Hallmark	up	GSE209664	hyperoxia_vs_room_air_sex_adjusted	capillaries	1	True	True	2.36942584377612	Oxidative phosphorylation	2.36942584377612
GSE209664__hyperoxia_vs_room_air_sex_adjusted__capillaries	HALLMARK_P53_PATHWAY	1e-06	9e-06		0.46200703466769	2.01445269758949	138	Cdkn1a;Bax;Zmat3;Rps27l;Aen;Ccng1;Phlda3;Sat1;Cdh13;Mdm2;Epha2;Plk3;Ddit3;Ephx1;Zfp365;Cd81;Rhbdf2;Def6;Plk2;Ak1;Sfn;Pmm1;Tprkb;Ercc5;Hras;Hint1;Plxnb2;Iscu;Ei24;Tax1bp3;S100a10;Ccnd3;Fuca1;Prmt2;Tgfb1;Cd82;Slc3a2;Rchy1;Ccnd2;Tob1;Dcxr	Hallmark	up	GSE209664	hyperoxia_vs_room_air_sex_adjusted	capillaries	1	True	True	2.01445269758949	p53 pathway	2.01445269758949
GSE209664__hyperoxia_vs_room_air_sex_adjusted__capillaries	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.0001475390530279	0.0006128545279621	0.518848077743792	0.59092973315052	2.00971765646264	39	Ftl1;Stk25;Srxn1;Gclc;Lamtor5;Gpx4;Egln2;Gsr;Txnrd1;Pfkp;Glrx2;Gclm;Prnp;Abcc1;Sod2;Atox1;Sbno2;Prdx1;Junb;Prdx6	Hallmark	up	GSE209664	hyperoxia_vs_room_air_sex_adjusted	capillaries	1	True	True	2.00971765646264	Reactive oxygen species	2.00971765646264
GSE209664__hyperoxia_vs_room_air_sex_adjusted__capillaries	REACTOME_MITOCHONDRIAL_TRANSLATION	1e-06	9e-06		0.588366247169025	2.41862918732255	102	Aurkaip1;Mrps18b;Mrpl38;mt-Co2;Mrpl33;Ndufab1;mt-Atp6;Mrps24;Mrpl2;Chchd1;Mrps10;Mrps7;Mrpl35;Mrpl20;Mrpl18;Mrpl57;Gadd45gip1;Mrpl42;Mrpl54;Mrpl45;Mrpl12;mt-Nd2;Mrps15;Mrpl48;Mrpl11;Mrpl22;Mrpl51;Mrps11;Mrpl39;Mrpl15;mt-Cytb;Mrps14;Mrpl3;Mrpl58;Mrps30;Mrpl4;Mrpl37;Mrpl44;Mrps22;Mrpl1;Mrps23;Mrpl47;Mrps25;Mrps5;Mrpl13;Mrps35;mt-Co1;Mrpl27;Mrpl40;Mrps34;Mrpl16;Mrps18a;Mrpl50;Mrpl55;mt-Co3;Mrps28;Mrps31;Oxa1l;Dap3;Mrpl43;Mrpl30;Mrps21;Mrps18c;Mrps17;Mrpl32;Mrpl46;Mrpl28;Mief1;Mrpl9;Mrpl34;Malsu1	Reactome	up	GSE209664	hyperoxia_vs_room_air_sex_adjusted	capillaries	1	True	True	2.41862918732255	Mitochondrial translation	2.41862918732255
GSE230672__P14_hyperoxia_vs_room_air_males__sorted_endothelium	GOBP_ELECTRON_TRANSPORT_CHAIN	0.152129817444219	0.209178498985801	0.160801401070022	0.309228383371298	1.19793772389492	86	Plec;Bid;Mybbp1a;Fdx2;Sco2;Coq7;Ndufa10;Ndufa12;Gba1;Aifm2;Cox6a2;Ndufs1;Cox8a;Cox6a1;Dld;Cyc1;Cox7b;Coq9;Ndufb6;Cdk1;Mtch2;Aifm1;Sdhc;Ndufb3;Ndufs3;Ndufs2;Ccnb1;Ndufv1;Uqcrq;Ndufv2;Cox5b;Ndufs6;Bdnf;Cox5a;Cycs;Sod2	GO_BP	up	GSE230672	P14_hyperoxia_vs_room_air_males	sorted_endothelium	1	True	False	1.19793772389492	Electron transport chain	1.19793772389492
GSE230672__P14_hyperoxia_vs_room_air_males__sorted_endothelium	GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_DNA_DAMAGE	6.74882108447018e-05	0.0004157273788033	0.538434096309916	0.464058108061329	1.86011162373922	113	Cdkn1a;Phlda3;Aen;Bax;Ackr3;Epha2;Pmaip1;Bcl2;Bok;Skil;Bcl2l1;Ercc6;Ddias;Rps27l;Sfn;Myc;Bid;Mif;Clu;Ifi204;Hmox1;E2f1	GO_BP	up	GSE230672	P14_hyperoxia_vs_room_air_males	sorted_endothelium	1	True	True	1.86011162373922	DNA-damage apoptosis	1.86011162373922
GSE230672__P14_hyperoxia_vs_room_air_males__sorted_endothelium	HALLMARK_APOPTOSIS	6.74412334213559e-05	0.0004157273788033	0.538434096309916	0.422971361063272	1.77096305763594	158	Tgfb2;Cdkn1a;Plat;Timp3;Igf2r;Slc20a1;Bax;Lmna;Ccnd1;Tnfrsf12a;Pmaip1;H1f0;Rela;Sqstm1;Hspb1;Ddit3;Bcl2l1;Sat1;Emp1;Mgmt;Timp1;Gsr;Bid;Clu;Hmox1;Cd14;Etf1;Gadd45b;Ccnd2;Ank	Hallmark	up	GSE230672	P14_hyperoxia_vs_room_air_males	sorted_endothelium	1	True	True	1.77096305763594	Apoptosis	1.77096305763594
