sample	condition	subtype	gene	raw_count	detected	log2CPM_TMM	log2CPM_library	subset_definition	gene_upper	expression_mean	expression_sd	expression_z	evidence_column	expression_label
BPD 1	BPD	aCap	APLN	9	TRUE	7.01501217813728	7.17517442900163	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	APLN	7.74005102478059	1.06912581641232	-0.678160451757057	aCap | BPD1	7.0
BPD 1	BPD	aCap	BAX	0	FALSE	1.35838704292938	1.15027289730617	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	BAX	5.55466111120963	3.14603145613255	-1.33383093169665	aCap | BPD1	1.4
BPD 1	BPD	aCap	CCN2	0	FALSE	1.35838704292938	1.15027289730617	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	CCN2	6.32003185385861	3.55220313998397	-1.39677958027807	aCap | BPD1	1.4
BPD 1	BPD	aCap	CCND1	7	TRUE	6.66059037304277	6.8189208907934	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	CCND1	8.66703892760347	1.5618059247749	-1.28469774812122	aCap | BPD1	6.7
BPD 1	BPD	aCap	CCNG1	0	FALSE	1.35838704292938	1.15027289730617	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	CCNG1	2.89417457170636	1.92563367393091	-0.797549165019475	aCap | BPD1	1.4
BPD 1	BPD	aCap	CDKN1A	2	TRUE	4.94186606781029	5.08078434522977	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	CDKN1A	4.99215628803903	2.58638742668289	-0.01944419452009	aCap | BPD1	4.9
BPD 1	BPD	aCap	COL18A1	5	TRUE	6.18971546130695	6.34479460988235	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	COL18A1	6.01277565689975	3.25185427851633	0.0544119721403774	aCap | BPD1	6.2
BPD 1	BPD	aCap	ECM1	1	TRUE	4.05745745292865	4.17242872261756	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	ECM1	4.01881822676569	1.8735781613545	0.0206232261668926	aCap | BPD1	4.1
BPD 1	BPD	aCap	GDF15	0	FALSE	1.35838704292938	1.15027289730617	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	GDF15	4.68359960906057	3.84827934803726	-0.864077751483178	aCap | BPD1	1.4
BPD 1	BPD	aCap	LGALS1	18	TRUE	8.00064101287274	8.16405349525568	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	LGALS1	9.53648214876206	1.66529130409524	-0.922265751410829	aCap | BPD1	8.0
