source	target	ligand	receptor	pair	ages_tested	positive_ages	nominal_ages	median_delta	min_p	min_fdr	priority_score	reported_in_external_p53_cellchat
Cap	Cap	Gdf15	Tgfbr2	Gdf15–Tgfbr2	2	2	2	2.1871113912742524	0.0021645021645021645	0.0073701298701298705	23.311475273625323	True
Epithelial	Cap	Gdf15	Tgfbr2	Gdf15–Tgfbr2	2	2	2	0.9464824443561357	0.0021645021645021645	0.009397106958082567	10.088147401433297	True
Fibroblast	Cap	Gdf15	Tgfbr2	Gdf15–Tgfbr2	2	2	2	0.677714320686069	0.0021645021645021645	0.007373677498158825	7.223464105342418	True
Mural	Cap	Gdf15	Tgfbr2	Gdf15–Tgfbr2	2	2	2	0.6445932567656749	0.0021645021645021645	0.0065581184984170055	6.87044099655298	True
Cap	Cap	Apln	Aplnr	Apln–Aplnr	2	2	2	0.5788513938461706	0.0021645021645021645	0.0073701298701298705	6.169726886606708	True
Cap	Cap-a	Gdf15	Tgfbr2	Gdf15–Tgfbr2	1	1	1	2.3000697394339595	0.0021645021645021645	0.007919825838900984	6.1288623744021695	True
Cap-a	Cap	Gdf15	Tgfbr2	Gdf15–Tgfbr2	1	1	1	2.239282104796079	0.0021645021645021645	0.006764069264069264	5.966885091551304	True
Cap-a	Cap-a	Gdf15	Tgfbr2	Gdf15–Tgfbr2	1	1	1	2.184196696188471	0.0021645021645021645	0.00698429477499245	5.82010219953481	True
Cap-a	Cap-a	Tgfb2	Acvr1	Tgfb2–Acvr1	1	1	1	1.6813080122664794	0.0021645021645021645	0.00698429477499245	4.480083903324094	True
Cap-a	Cap	Tgfb2	Acvr1	Tgfb2–Acvr1	1	1	1	1.4447057435306596	0.0021645021645021645	0.006764069264069264	3.8496235665388183	True
Cap-a	Cap	Tgfb2	Tgfbr1	Tgfb2–Tgfbr1	1	1	1	1.4282677218412068	0.0021645021645021645	0.006764069264069264	3.80582212395	True
Cap-a	Cap-a	Tgfb2	Tgfbr1	Tgfb2–Tgfbr1	1	1	1	1.4180085939812481	0.0021645021645021645	0.00698429477499245	3.7784852212217572	True
Cap	Cap	Tgfb2	Acvr1	Tgfb2–Acvr1	2	2	1	0.6924010779161944	0.0021645021645021645	0.0073701298701298705	3.6900019522715986	True
Cap	Cap-a	Tgfb2	Acvr1	Tgfb2–Acvr1	1	1	1	1.3282813523182844	0.0021645021645021645	0.007919825838900984	3.5393942467357555	True
Cap	Cap	Tgfb2	Tgfbr1	Tgfb2–Tgfbr1	2	2	1	0.6241793701454392	0.0021645021645021645	0.0073701298701298705	3.3264290999314428	True
Cap	Cap-a	Tgfb2	Tgfbr1	Tgfb2–Tgfbr1	1	1	1	1.037643152261706	0.0021645021645021645	0.007919825838900984	2.764947499164918	True
Epithelial	Cap-a	Gdf15	Tgfbr2	Gdf15–Tgfbr2	1	1	1	1.0267518950616368	0.0021645021645021645	0.00885967035035358	2.735926198063036	True
Mural	Cap-a	Gdf15	Tgfbr2	Gdf15–Tgfbr2	1	1	1	0.7282730480192972	0.0021645021645021645	0.006563329143974305	1.9405869334184211	True
Lymphoid	Cap-a	Ccl4	Ackr2	Ccl4–Ackr2	1	1	1	0.8709430821878632	0.006493506493506494	0.03473132372214941	1.9052060389551255	True
Lymphoid	Cap	Ccl4	Ackr2	Ccl4–Ackr2	2	1	1	0.5786627380258103	0.0021645021645021645	0.016339351705205365	1.541929021433812	True
Fibroblast	Cap	Adm	Calcrl	Adm–Calcrl	2	2	1	0.37475172445908655	0.01948051948051948	0.20025974025974025	1.2819502988823441	True
Myeloid	Cap	Ccl4	Ackr2	Ccl4–Ackr2	2	1	1	0.40308118970436	0.0021645021645021645	0.009606831524639745	1.0740670576433393	True
Myeloid	Cap-a	Ccl4	Ackr2	Ccl4–Ackr2	1	1	1	0.41244642909535223	0.004329004329004329	0.01588170865279299	0.9748633208735105	True
Mural	Cap-a	Tgfb2	Acvr1	Tgfb2–Acvr1	1	1	1	0.40993115096533916	0.004329004329004329	0.011585093435627244	0.9689181793526509	True
Epithelial	Cap-a	Tgfb2	Acvr1	Tgfb2–Acvr1	1	1	1	0.35155916078235716	0.006493506493506494	0.02077291640398437	0.769042948811284	True
Fibroblast	Cap-a	Gdf15	Tgfbr2	Gdf15–Tgfbr2	1	1	1	0.22951370345506739	0.032467532467532464	0.06451340866925281	0.3416427877247111	True
Fibroblast	Cap	Tgfb2	Tgfbr1	Tgfb2–Tgfbr1	2	1	1	0.10048215409923178	0.0021645021645021645	0.007373677498158825	0.26774896560711203	True
Cap-a	Cap	Adm	Calcrl	Adm–Calcrl	1	1	0	0.5928631120135011	0.4155844155844156	0.5516607286518792	0.0	True
Cap	Cap	Adm	Calcrl	Adm–Calcrl	1	1	0	0.4980636144364783	0.5887445887445888	0.691267353336319	0.0	True
Cap-a	Cap-a	Adm	Calcrl	Adm–Calcrl	1	1	0	0.4175633389350559	0.6341991341991342	0.7425749356129103	0.0	True
Mural	Cap	Tgfb2	Tgfbr1	Tgfb2–Tgfbr1	2	2	0	0.3161012882838401	0.6558441558441559	0.7553626149131768	0.0	True
Cap	Cap-a	Adm	Calcrl	Adm–Calcrl	1	1	0	0.3017625394023824	0.7359307359307359	0.8303817394726485	0.0	True
Epithelial	Cap	Tgfb2	Tgfbr1	Tgfb2–Tgfbr1	2	2	0	0.20979015945462498	0.3484848484848485	0.5012549739822467	0.0	True
Epithelial	Cap	Ccl4	Ackr2	Ccl4–Ackr2	2	2	0	0.10479382619471744	0.7597402597402597	0.9342748506246604	0.0	True
Fibroblast	Cap	Ccl4	Ackr2	Ccl4–Ackr2	2	2	0	0.10025979509655403	0.4935064935064935	0.6137947020299961	0.0	True
Mural	Cap	Tgfb2	Acvr1	Tgfb2–Acvr1	2	2	0	0.073403572875967	0.18398268398268397	0.28187535734705543	0.0	True
Epithelial	Cap	Tgfb2	Acvr1	Tgfb2–Acvr1	2	1	0	0.05317201524983317	0.10173160173160173	0.18430763468931405	0.0	True
Epithelial	Cap-a	Tgfb2	Tgfbr1	Tgfb2–Tgfbr1	1	1	0	0.046415367167556454	0.5800865800865801	0.7079204745871412	0.0	True
Fibroblast	Cap-a	Tgfb2	Acvr1	Tgfb2–Acvr1	1	1	0	0.022067160047011924	0.8441558441558441	0.893193942986474	0.0	True
Lymphoid	Cap	Adm	Calcrl	Adm–Calcrl	2	1	0	0.014067243878325364	0.461038961038961	0.692567496915323	0.0	True
Mural	Cap-a	Tgfb2	Tgfbr1	Tgfb2–Tgfbr1	1	1	0	0.002370310913375917	0.9848484848484849	0.9887931383258486	0.0	True
Myeloid	Cap	Tgfb2	Tgfbr1	Tgfb2–Tgfbr1	2	1	0	-0.03392270631967298	0.08225108225108226	0.17028339073067508	0.0	True
Myeloid	Cap	Gdf15	Tgfbr2	Gdf15–Tgfbr2	2	0	0	-0.09399492092917816	0.19696969696969696	0.33412660637791525	0.0	True
