gene	concordant_endothelial_subtypes	replicated_subtype_names	bulk_log2FC_hyperoxia_vs_air	bulk_fdr_bh	included_high_confidence_ge3	included_after_excluding_vein_lymph_ge2_of3	JCI_hyperoxia_vs_room_air	JCI_p53_null_vs_control_hyperoxia	JCI_p53_EC_deletion_vs_control_hyperoxia	p53_null_reverses_hyperoxia	p53_ec_deletion_reverses_hyperoxia
2200002D01Rik	1	Vein	1.804873543643696	1.6367759049541413e-05	False	False				False	False
AU020206	2	Cap;Cap-a	-1.1741388328285491	7.871310214458893e-33	False	True	-1.63593466	-1.139254406	-2.43319937086411	False	False
AW112010	1	Cap	1.3733282917976195	8.717688174377376e-10	False	False	0.299030553	-0.106366412	0.533362746107748	True	False
Aatk	2	Cap;Cap-a	1.0964727239725038	5.212027654058552e-44	False	True	0.952205003	0.235171781	0.259118861138039	False	False
Abi3bp	3	Cap;Cap-a;Lymph	-1.1299101491565706	9.898557114089785e-34	True	True	-1.577536137	-0.133889754	-0.619677640378782	False	False
Ackr3	2	Cap;Cap-a	1.1930854920870542	2.038079949959631e-62	False	True	1.449369267	-0.093305027	-0.0632192791548232	True	True
Adam12	2	Cap;Cap-a	1.2458229094754507	3.358875211090759e-79	False	True	1.571703213	-0.231225893	-0.837556946909183	True	True
Adamtsl2	2	Cap;Cap-a	1.0257468498817972	2.354489323087451e-26	False	True	0.470972166	0.397386507	-0.204929691814063	False	True
Adgrg1	2	Cap;Cap-a	2.3812063247032302	1.3033147338189678e-104	False	True	2.200855972	-0.506060577	0.245313640573144	True	False
Aen	2	Cap;Cap-a	1.9735100819608224	1.2363578451959242e-124	False	True	1.853978037	-1.084201709	0.675038293377345	True	False
Akr1b8	2	Cap;Cap-a	2.8924195916546664	2.4625761075841986e-58	False	True	3.299946272	0.369751264	2.56208834717049	False	False
Amot	1	Cap	-1.039672458360266	3.5936888906711827e-41	False	False	-0.781890981	0.067304087	-0.990038275895412	True	False
Ampd3	2	Cap;Cap-a	1.288957424180027	4.671988224789115e-50	False	True	0.972876505	0.34720922	1.57746143414385	False	False
Ano3	1	Cap	6.282287488464757	4.696627747264832e-64	False	False	6.769109085	-8.619848689	-1.86747054920969	True	True
Apln	3	Cap;Cap-a;Vein	1.513492100365419	1.5522041635336247e-48	True	True	1.404891783	0.103845162	1.42110551212971	False	False
Apold1	2	Cap;Cap-a	1.6151713724643582	1.0583722203470145e-06	False	True	1.228451815	0.634160083	0.141958508437195	False	False
Ar	1	Cap	1.7578450204550224	3.875955446153283e-33	False	False	1.549214894	-0.379296281	-1.51408629703172	True	True
Arhgap6	2	Cap;Cap-a	1.4728124270013032	1.6510128747697106e-51	False	True	1.758430819	-0.225074893	-0.347209117777724	True	True
Aspa	1	Cap	2.2086670553081573	6.962888655973629e-13	False	False	1.908173693	0.677794717	0.090205847443011	False	False
Ass1	2	Cap;Vein	1.325879338703973	9.499135426315491e-35	False	False	0.506390322	0.07876199	0.115373240960708	False	False
Atg4a	1	Cap	1.0870848822299253	5.168442743097141e-32	False	False	0.986355514	-0.849401392	-1.29101102836818	True	True
Atp13a3	2	Cap;Cap-a	1.5354915376621885	9.142926628682156e-39	False	True	0.907008734	0.732380317	1.68159889055179	False	False
Bax	4	Cap;Cap-a;Lymph;Vein	1.431321633156233	4.429956020646399e-112	True	True	1.204516646	-0.569926458	1.3551288717959	True	False
Bcl2l11	2	Cap;Cap-a	-1.110398141115143	1.5201974182229664e-25	False	True	-1.168173541	0.227808812	-0.138303908621063	True	False
Bdkrb2	2	Cap;Cap-a	1.1359225221774012	7.433309199907916e-15	False	True	3.193546035	0.86677869	0.863058282813923	False	False
Bhlhe40	2	Cap;Cap-a	1.0444174040525644	4.301407387656529e-13	False	True	1.165857175	0.819850678	1.64411922032289	False	False
Bok	2	Cap;Cap-a	1.067947481926755	2.8604803590832987e-10	False	True	1.91752373	0.809983264	1.17976478593259	False	False
