tf	median_ulm_score	mean_abs_ulm_score	significant_contrasts	direction_consistency	median_fdr	n_targets	median_beta	median_rescue_198	median_rescue_33	positive_rescue_contrasts_33	suggested_intervention	priority_score	external_JCI_hyperoxia_vs_room_air_ulm	external_JCI_hyperoxia_vs_room_air_fdr	external_JCI_p53_EC_deletion_vs_control_hyperoxia_ulm	external_JCI_p53_EC_deletion_vs_control_hyperoxia_fdr	external_JCI_p53_null_vs_control_hyperoxia_ulm	external_JCI_p53_null_vs_control_hyperoxia_fdr	external_hyperoxia_direction_match	network_evidence_class
Egr1	7.5816091084043755	6.757676311057644	5	1.0	8.865127056924271e-12	349	0.02637605113152002	0.013820822711187564	0.01326581028945184	6	inhibit	0.164351095223358	5.092713936573734	9.907959793054033e-06	2.7553342534510215	0.07734213769435883	-0.9056631746014716	0.6787114143371582	True	high
Srf	4.98058795667087	4.8784157693818075	5	1.0	0.0004500590144713712	100	0.0418222911936806	0.002219434493966832	0.009516734172778596	6	inhibit	0.08511540777941269	5.997119220172042	1.726911023069988e-07	2.0989956211741276	0.2225399762392044	0.22048332157757916	0.9430198073387146	True	high
Smad4	4.825083976511974	4.537953579394383	4	1.0	0.000246957832928274	133	0.03513055534792403	0.008485124077637074	0.01115262798797928	6	inhibit	0.0843501801628409	4.3402612768285085	0.00018968884251080453	3.737725403416091	0.0068374634720385075	-0.4772198035279769	0.8267028331756592	True	high
Jund	5.635489201125019	4.693853370320252	5	1.0	3.25459154737473e-07	102	0.035374162750944474	0.007312016487215245	0.009753912877553728	6	inhibit	0.0839363008625454	5.954688281567515	1.7901416526910907e-07	2.1837028327281365	0.19310566782951355	-1.7425803819074255	0.37022852897644043	True	high
Hif1a	5.460648001505755	5.008326056521374	5	1.0	1.3855968185039202e-05	447	0.018815188953167354	0.006777311473337377	0.009111137772166433	6	inhibit	0.08365783929964496	6.108638518183313	1.1557710166698598e-07	2.887964206631816	0.0581476092338562	0.024182022885930132	0.9932692646980286	True	high
Ets2	5.670418504317459	4.66983441498451	5	1.0	4.6190918467914344e-07	106	0.03640063792749844	0.009036711825383958	0.009732706580781514	6	inhibit	0.08332523492677951	4.448887021582783	0.0001309044600930065	0.24256065725806233	0.9410383701324463	-2.252344320340033	0.21632808446884155	True	high
Sp1	5.21368549006333	4.972799364989037	5	1.0	7.969919211658905e-05	1266	0.010488208414608034	0.006025255514105321	0.007818975612158885	6	inhibit	0.07128402775818221	4.841048216032755	2.5484485377091914e-05	2.9388509053219556	0.051764827221632004	1.1679438574113254	0.5875207781791687	True	high
Trp73	4.795867221243737	4.512607472975001	5	1.0	5.560820238770248e-05	127	0.02935905612286576	0.007178969469276819	0.008198702454045415	6	inhibit	0.06782879759851035	3.798273956321188	0.001178246340714395	0.7813135030874412	0.8203834295272827	-3.571792776862845	0.015506710857152939	True	high
Trp63	4.332557967214627	4.043867044101519	5	1.0	0.0006101610931636969	198	0.022229606798878414	0.0050488804158033695	0.007523157999136332	6	inhibit	0.05577485961717293	3.4827853306143424	0.0028305042069405317	-0.7768208964741383	0.8203834295272827	-3.671042528206523	0.013335730880498886	True	high
Atf2	4.791905306969051	3.629878869644143	4	1.0	1.528883421997307e-05	110	0.027707934587897873	0.00525655898961086	0.008053025860725482	6	inhibit	0.048719180680908775	4.907917812600237	1.931799852172844e-05	1.7614730252516624	0.38398832082748413	-0.17178181964110217	0.9676933884620667	True	high
Trp53	4.983017943292981	4.774993065688691	5	1.0	6.39437053671088e-05	943	0.010121196986483633	0.005562354752539245	0.005426483708723062	6	inhibit	0.04750427381374634	5.286028512524437	4.695410098065622e-06	3.041827007037535	0.04085523635149002	-2.02600054108019	0.2816193103790283	True	high
Jun	5.794229853583099	5.075869332265186	5	1.0	3.238195168439595e-06	616	0.014311691926039684	0.005136598284427085	0.004190927711558046	6	inhibit	0.03899976931553597	4.941373859787106	1.737503225740511e-05	4.26244363079379	0.0016830457607284188	2.1926435587513335	0.2344072163105011	True	high
Ssrp1	3.410244833621322	3.1409911172885745	4	0.8333333333333334	0.005878990690689534	137	0.02013677890099951	0.0046057528515365265	0.007580506297143075	5	inhibit	0.03306986519982848	3.756336687320123	0.001298774965107441	1.9882551638320816	0.2702358365058899	-2.144030746358728	0.2344072163105011	True	high
Pou2f1	2.94612000522236	3.0501476550126037	4	1.0	0.01531527517363429	115	0.020781622419657197	0.0036784069881623527	0.005288416928437345	6	inhibit	0.02688408748833687	3.281364551396377	0.005172674544155598	0.6123232151583041	0.8557642102241516	-1.0193777728393003	0.6368802189826965	True	high
Esr1	4.038220822717731	3.4357836662197094	4	0.8333333333333334	0.0026033723975160683	594	0.010293650032004595	0.005431553493566277	0.0055399972703607525	5	inhibit	0.02643643351723229	3.9754459194381626	0.0006478797295130789	-0.5732364325115299	0.8588892817497253	0.013739533444939556	0.9946731328964233	True	high
Pitx2	3.582513754720961	3.4948880114661436	5	1.0	0.0014395766775123775	128	0.022564776864454773	0.0028403423484323342	0.0033691588543935946	6	inhibit	0.02158719362973283	3.1662137825251517	0.007184353191405535	0.5843220615505428	0.8557642102241516	-0.5634750847177312	0.7955795526504517	True	high
Rel	3.331773675103139	3.3497995561640335	4	1.0	0.004802079522050917	116	0.027240726901565628	0.003120884459706097	0.0037158064140220826	6	inhibit	0.0207453444608044	2.5958395027299304	0.03173845261335373	3.1951560053038786	0.03297554329037666	0.713151308374813	0.7470057606697083	True	high
Junb	2.563158404444648	2.9966895927650863	4	1.0	0.031315083615481853	107	0.024178414230511022	0.0028566054743351943	0.0036769281950077004	6	inhibit	0.018364354092206815	2.6033790283646625	0.031369537115097046	1.0034184140668143	0.741795539855957	-1.6098144871255935	0.3973119556903839	True	high
Cebpa	3.099673276245621	2.7791414831276895	4	1.0	0.0195029383758083	217	0.010369227655597777	0.003037778028118998	0.0030476256294220128	6	inhibit	0.014116304686283084	3.60514513346734	0.002033131429925561	0.8503669771333344	0.8117617964744568	-1.6980610001103762	0.37766173481941223	True	high
Creb1	3.2309090833933545	2.414498236172213	4	0.8333333333333334	0.0051939107943326235	440	0.010174994899468562	0.0030433605693862	0.003100159266408553	5	inhibit	0.01039629038971721	3.06495145908182	0.009712710045278072	4.070758040138165	0.0031143997330218554	1.932209294585042	0.33129972219467163	True	high
Smad3	3.319268216684611	3.4487845450533885	4	0.8333333333333334	0.003937704488635063	177	0.021688880547727316	0.0030733377899970216	0.0020030580603954684	5	inhibit	0.00959460511324515	4.645256263851949	5.979450361337513e-05	1.0881046661859426	0.7119062542915344	-1.453135513582693	0.47165393829345703	True	high
