sample	condition	subtype	gene	raw_count	detected	log2CPM_TMM	log2CPM_library	subset_definition
BPD 1	BPD	All Endothelial	APLN	10	True	3.72677960223071	3.88676028985817	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 1	BPD	All Endothelial	BAX	22	True	4.84728500109815	5.01020190803645	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 1	BPD	All Endothelial	CCN2	52	True	6.08004908276319	6.24440037562036	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 1	BPD	All Endothelial	CCND1	116	True	7.23424141685945	7.39917733201616	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 1	BPD	All Endothelial	CCNG1	9	True	3.57821467115352	3.73760493156863	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 1	BPD	All Endothelial	CDKN1A	68	True	6.46564493084648	6.63024524500468	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 1	BPD	All Endothelial	COL18A1	38	True	5.62976885775105	5.79373113739352	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 1	BPD	All Endothelial	ECM1	3	True	2.06034881390836	2.20844760217681	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 1	BPD	All Endothelial	GDF15	3	True	2.06034881390836	2.20844760217681	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 1	BPD	All Endothelial	LGALS1	82	True	6.73494152108611	6.89968020589238	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 1	BPD	All Endothelial	MAP1B	35	True	5.51183422664341	5.67567288750704	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 1	BPD	All Endothelial	PHLDA3	3	True	2.06034881390836	2.20844760217681	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 1	BPD	All Endothelial	RPS27L	55	True	6.16063833554825	6.32504731603621	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 1	BPD	All Endothelial	S100A6	678	True	9.77914202247353	9.94447307337643	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 1	BPD	All Endothelial	TINAGL1	33	True	5.42749003933494	5.59123387624453	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 1	BPD	All Endothelial	ZFP36L2	214	True	8.1164793482739	8.28163342289387	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 1	BPD	All Endothelial	ZMAT3	6	True	3.01032114084219	3.16679739481981	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 2	BPD	All Endothelial	APLN	8	True	3.22740695964659	3.40734331934938	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 2	BPD	All Endothelial	BAX	20	True	4.5228165392712	4.70764964246478	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 2	BPD	All Endothelial	CCN2	61	True	6.1195831656453	6.30666430318861	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
