analysis	configuration	method	mean_spearman_across_four_tasks	rank	Method
all_nonempty_subsets	1	cpa_adapted	0.4482573309818184	4.0	CPA-style
all_nonempty_subsets	1	cvae_counterfactual	0.456746755473547	2.0	Conditional VAE
all_nonempty_subsets	1	gene_linear	0.0447008094968618	7.0	Gene shift
all_nonempty_subsets	1	pca_latent	0.3966609759617804	6.0	PCA shift
all_nonempty_subsets	1	scgen_adapted	0.4577561617806899	1.0	scGen-style
all_nonempty_subsets	1	sinkhorn_ot	0.4109738411809874	5.0	Sinkhorn OT
all_nonempty_subsets	1	vae_latent	0.4494371486138726	3.0	VAE
all_nonempty_subsets	2	cpa_adapted	0.4442693867504467	1.0	CPA-style
all_nonempty_subsets	2	cvae_counterfactual	0.4425252584323749	3.0	Conditional VAE
all_nonempty_subsets	2	gene_linear	0.0489305782161598	7.0	Gene shift
all_nonempty_subsets	2	pca_latent	0.3840674012677867	6.0	PCA shift
all_nonempty_subsets	2	scgen_adapted	0.443238538371792	2.0	scGen-style
all_nonempty_subsets	2	sinkhorn_ot	0.3939470896395827	5.0	Sinkhorn OT
all_nonempty_subsets	2	vae_latent	0.433999205759441	4.0	VAE
all_nonempty_subsets	3	cpa_adapted	0.4704333202778726	3.0	CPA-style
all_nonempty_subsets	3	cvae_counterfactual	0.4773801912921872	2.0	Conditional VAE
all_nonempty_subsets	3	gene_linear	0.0522084334099708	7.0	Gene shift
all_nonempty_subsets	3	pca_latent	0.4135204437731681	6.0	PCA shift
all_nonempty_subsets	3	scgen_adapted	0.478565056239592	1.0	scGen-style
all_nonempty_subsets	3	sinkhorn_ot	0.4258624980451358	5.0	Sinkhorn OT
all_nonempty_subsets	3	vae_latent	0.4694052604261844	4.0	VAE
all_nonempty_subsets	4	cpa_adapted	0.4879613587130239	4.0	CPA-style
all_nonempty_subsets	4	cvae_counterfactual	0.5114400365641181	1.0	Conditional VAE
all_nonempty_subsets	4	gene_linear	0.0445033878194629	7.0	Gene shift
all_nonempty_subsets	4	pca_latent	0.4362209461372852	6.0	PCA shift
all_nonempty_subsets	4	scgen_adapted	0.511130126742375	2.0	scGen-style
all_nonempty_subsets	4	sinkhorn_ot	0.4589826286177443	5.0	Sinkhorn OT
all_nonempty_subsets	4	vae_latent	0.5027956348377655	3.0	VAE
all_nonempty_subsets	5	cpa_adapted	0.4774963740442285	4.0	CPA-style
all_nonempty_subsets	5	cvae_counterfactual	0.4939262845220004	2.0	Conditional VAE
all_nonempty_subsets	5	gene_linear	0.0466324524734608	7.0	Gene shift
all_nonempty_subsets	5	pca_latent	0.4203378374604133	6.0	PCA shift
all_nonempty_subsets	5	scgen_adapted	0.4940103203017696	1.0	scGen-style
all_nonempty_subsets	5	sinkhorn_ot	0.4400743366964611	5.0	Sinkhorn OT
all_nonempty_subsets	5	vae_latent	0.4857239684333728	3.0	VAE
all_nonempty_subsets	6	cpa_adapted	0.5065165977504054	4.0	CPA-style
all_nonempty_subsets	6	cvae_counterfactual	0.5296544271856174	2.0	Conditional VAE
all_nonempty_subsets	6	gene_linear	0.0469051507529986	7.0	Gene shift
all_nonempty_subsets	6	pca_latent	0.4494989374686083	6.0	PCA shift
all_nonempty_subsets	6	scgen_adapted	0.5297267597522172	1.0	scGen-style
all_nonempty_subsets	6	sinkhorn_ot	0.4714002714752543	5.0	Sinkhorn OT
all_nonempty_subsets	6	vae_latent	0.5210348036927873	3.0	VAE
all_nonempty_subsets	7	cpa_adapted	0.4099289823355578	3.0	CPA-style
all_nonempty_subsets	7	cvae_counterfactual	0.4174808774998751	2.0	Conditional VAE
all_nonempty_subsets	7	gene_linear	0.0359934625066679	7.0	Gene shift
all_nonempty_subsets	7	pca_latent	0.3594698848700244	6.0	PCA shift
all_nonempty_subsets	7	scgen_adapted	0.418265431537056	1.0	scGen-style
all_nonempty_subsets	7	sinkhorn_ot	0.3783041461598261	5.0	Sinkhorn OT
all_nonempty_subsets	7	vae_latent	0.4093798019495828	4.0	VAE
all_nonempty_subsets	8	cpa_adapted	0.4001813314471851	1.0	CPA-style
all_nonempty_subsets	8	cvae_counterfactual	0.3987966207764206	3.0	Conditional VAE
all_nonempty_subsets	8	gene_linear	0.0367223331793785	7.0	Gene shift
all_nonempty_subsets	8	pca_latent	0.3411264546316689	6.0	PCA shift
